Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
5.13,3.37E-02,2.23E-02,1.45E-02,9.39E-03,6.01E-03,3.83E-03,2.42E-03,1.53E-03,9.57E-04,5.99E-04,3.74E-04,2.33E-04,1.45E-04,9.00E-05,5.60E-05,3.51E-05,2.22E-05,1.46E-05,1.04E-05,8.68E-06,8.99E-06,1.14E-05,1.65E-05,2.55E-05,4.05E-05,6.50E-05,1.05E-04,1.69E-04,2.71E-04,4.36E-04,7.00E-04,1.12E-03,1.79E-03,2.86E-03,4.53E-03,7.16E-03,1.12E-02,1.75E-02,2.71E-02,4.15E-02,6.27E-02
10.25,9.31E-02,6.96E-02,5.16E-02,3.81E-02,2.79E-02,2.04E-02,1.49E-02,1.08E-02,7.79E-03,5.62E-03,4.05E-03,2.92E-03,2.10E-03,1.52E-03,1.10E-03,8.09E-04,6.10E-04,4.81E-04,4.07E-04,3.80E-04,3.97E-04,4.60E-04,5.77E-04,7.61E-04,1.03E-03,1.42E-03,1.97E-03,2.74E-03,3.82E-03,5.31E-03,7.39E-03,1.03E-02,1.42E-02,1.97E-02,2.71E-02,3.72E-02,5.09E-02,6.93E-02,9.38E-02,1.26E-01,1.69E-01
20.49,2.54E-01,2.06E-01,1.68E-01,1.36E-01,1.09E-01,8.81E-02,7.07E-02,5.67E-02,4.54E-02,3.63E-02,2.91E-02,2.33E-02,1.88E-02,1.52E-02,1.25E-02,1.05E-02,8.98E-03,8.00E-03,7.46E-03,7.34E-03,7.63E-03,8.36E-03,9.55E-03,1.13E-02,1.36E-02,1.67E-02,2.07E-02,2.59E-02,3.24E-02,4.06E-02,5.09E-02,6.37E-02,7.98E-02,9.97E-02,1.24E-01,1.55E-01,1.92E-01,2.38E-01,2.94E-01,3.62E-01,4.44E-01
40.97,6.81E-01,5.90E-01,5.10E-01,4.41E-01,3.81E-01,3.28E-01,2.83E-01,2.44E-01,2.11E-01,1.83E-01,1.59E-01,1.38E-01,1.22E-01,1.08E-01,9.72E-02,8.87E-02,8.27E-02,7.88E-02,7.70E-02,7.72E-02,7.96E-02,8.41E-02,9.08E-02,9.99E-02,1.12E-01,1.26E-01,1.44E-01,1.66E-01,1.92E-01,2.22E-01,2.58E-01,3.00E-01,3.49E-01,4.06E-01,4.73E-01,5.49E-01,6.37E-01,7.39E-01,8.55E-01,9.88E-01,1.14002
61.45,1.19001,1.05758,9.39E-01,8.33E-01,7.39E-01,6.56E-01,5.82E-01,5.17E-01,4.60E-01,4.11E-01,3.68E-01,3.32E-01,3.01E-01,2.76E-01,2.55E-01,2.39E-01,2.28E-01,2.21E-01,2.19E-01,2.20E-01,2.26E-01,2.36E-01,2.51E-01,2.70E-01,2.94E-01,3.24E-01,3.60E-01,4.02E-01,4.51E-01,5.08E-01,5.74E-01,6.48E-01,7.34E-01,8.30E-01,9.39E-01,1.06211,1.2003,1.35519,1.5284,1.72159,1.93656
81.93,1.76845,1.59688,1.44132,1.30068,1.17393,1.06009,9.58E-01,8.68E-01,7.87E-01,7.17E-01,6.56E-01,6.03E-01,5.58E-01,5.21E-01,4.91E-01,4.68E-01,4.52E-01,4.42E-01,4.39E-01,4.43E-01,4.53E-01,4.70E-01,4.94E-01,5.25E-01,5.64E-01,6.11E-01,6.66E-01,7.31E-01,8.05E-01,8.89E-01,9.85E-01,1.09366,1.21509,1.35082,1.50202,1.66993,1.8559,2.06134,2.28776,2.53673,2.80991
102.41,2.4096,2.20101,2.01036,1.83662,1.67879,1.53597,1.40727,1.29191,1.18916,1.09833,1.01884,9.50E-01,8.92E-01,8.43E-01,8.04E-01,7.75E-01,7.54E-01,7.43E-01,7.40E-01,7.47E-01,7.62E-01,7.87E-01,8.21E-01,8.65E-01,9.19E-01,9.83E-01,1.05835,1.1454,1.24477,1.35721,1.48354,1.62466,1.78156,1.95528,2.14695,2.35778,2.58904,2.84208,3.11831,3.4192,3.74631
122.89,3.10923,2.86565,2.64181,2.43672,2.24946,2.07915,1.92497,1.78617,1.66204,1.55197,1.45537,1.37173,1.30062,1.24165,1.19452,1.15897,1.13482,1.12198,1.1204,1.1301,1.15118,1.18382,1.22824,1.28476,1.35375,1.43567,1.53103,1.64044,1.76454,1.90409,2.05988,2.23279,2.42376,2.63381,2.86401,3.11551,3.38952,3.6873,4.01018,4.35956,4.73687
139.653,3.71932,3.44839,3.19861,2.96904,2.75878,2.56701,2.39293,2.23584,2.09507,1.97002,1.86013,1.76493,1.684,1.61698,1.56358,1.52357,1.4968,1.48316,1.48263,1.49524,1.5211,1.56038,1.61333,1.68026,1.76154,1.85761,1.969,2.09627,2.2401,2.40117,2.58029,2.77829,2.99609,3.23465,3.49502,3.77828,4.0856,4.41818,4.77728,5.16421,5.58035
156.416,4.36532,4.0683,3.79378,3.54086,3.30869,3.09647,2.90346,2.72898,2.5724,2.43314,2.31068,2.20457,2.11442,2.03989,1.9807,1.93665,1.90759,1.89344,1.89417,1.90984,1.94055,1.98649,2.04788,2.12505,2.21836,2.32824,2.4552,2.59981,2.76269,2.94453,3.14609,3.36818,3.61168,3.87752,4.16668,4.48022,4.81923,5.18487,5.57832,6.00084,6.45373
173.18,5.04586,4.72395,4.42584,4.15067,3.89762,3.66595,3.45494,3.26394,3.09236,2.93964,2.80531,2.68892,2.59011,2.50856,2.44402,2.39629,2.36525,2.35081,2.35296,2.37177,2.40734,2.45985,2.52953,2.61669,2.7217,2.84497,2.98699,3.1483,3.32952,3.53132,3.7544,3.99956,4.26763,4.5595,4.87612,5.21849,5.58765,5.98469,6.41075,6.86702,7.35473
189.943,5.75959,5.41395,5.09336,4.79699,4.52408,4.2739,4.04577,3.83909,3.65328,3.48783,3.34227,3.21619,3.10925,3.02114,2.95164,2.90056,2.86777,2.85323,2.85691,2.87888,2.91925,2.9782,3.05596,3.15283,3.26914,3.40533,3.56185,3.73923,3.93805,4.15896,4.40264,4.66985,4.96137,5.27808,5.62086,5.99066,6.38849,6.81538,7.27241,7.76071,8.28144
206.706,6.5052,6.13695,5.79494,5.47839,5.18656,4.91878,4.67439,4.45282,4.25351,4.07599,3.91982,3.7846,3.67001,3.57576,3.50165,3.44749,3.41318,3.39866,3.40393,3.42905,3.47414,3.53937,3.62496,3.73119,3.85842,4.00702,4.17747,4.37025,4.58593,4.82512,5.08848,5.37674,5.69064,6.03101,6.3987,6.79462,7.21971,7.67497,8.16141,8.68012,9.23219
223.469,7.2814,6.8916,6.52919,6.19342,5.88359,5.59907,5.33923,5.10351,4.89141,4.70245,4.53623,4.39238,4.27058,4.17058,4.09216,4.03517,3.9995,3.98512,3.99201,4.02024,4.06993,4.14124,4.23439,4.34965,4.48736,4.64789,4.83167,5.03919,5.27099,5.52766,5.80981,6.11814,6.45337,6.81628,7.20769,7.62845,8.07948,8.5617,9.0761,9.62369,10.2055
240.232,8.08691,7.67658,7.29474,6.94068,6.61373,6.31328,6.03875,5.7896,5.56534,5.36555,5.18982,5.0378,4.90921,4.80378,4.72134,4.66173,4.62486,4.61068,4.6192,4.65048,4.70463,4.78181,4.88224,5.00617,5.15393,5.32588,5.52244,5.74405,5.99125,6.26459,6.56466,6.89213,7.24769,7.63207,8.04605,8.49046,8.96614,9.47401,10.015,10.59,11.2001
254.275,8.78154,8.3547,7.95724,7.58848,7.24777,6.93453,6.6482,6.38828,6.15428,5.9458,5.76245,5.6039,5.46988,5.36015,5.27451,5.21284,5.17504,5.16108,5.17095,5.20473,5.26251,5.34446,5.45079,5.58174,5.73762,5.91879,6.12564,6.35862,6.61822,6.90498,7.21949,7.56235,7.93425,8.33589,8.76801,9.23141,9.72691,10.2554,10.8177,11.4147,12.0475
